"Location"	"LatLong"	"Curvature"	"Stop"	"Mode"	"Notes"
Canberra
Blue Mountains
Jenolan caves
Waterfall way
Noosaville
Coffs Harbour
Newcastle
Canberra

One of these trips we stayed at Chichi and also went to fraser island and Rainbow beach. Check photos
